2025-06-16,17:35:02,oh my god aku confuse,ENGLISH,MALAY,Wrong
2025-06-16,17:51:26,aulai tu ada chicken rice,MALAY,MALAY,Correct
2025-06-16,17:52:32,i like to order to,ENGLISH,MALAY,Wrong
2025-06-17,15:11:00,i want to buy roti canai and milo ais,ENGLISH,MALAY,Wrong
2025-06-17,16:24:58,saya nak beli roti canai dan,MALAY,MALAY,Correct
2025-06-17,17:18:23,i want to buy roti canai,ENGLISH,MALAY,Wrong
2025-06-17,17:21:48,saya nak chicken chop,MALAY,MALAY,Correct
2025-06-18,15:15:36,play The Originals,ENGLISH,ENGLISH,Correct
2025-06-18,15:16:04,take a screenshot,ENGLISH,ENGLISH,Correct
2025-06-18,17:47:28,saya nak nasi ayam,MALAY,MALAY,Correct
2025-06-18,17:54:52,saya nak nasi ayam,MALAY,MALAY,Correct
2025-06-18,17:57:04,saya nak nasi ayam,MALAY,MALAY,Correct
2025-06-18,18:01:32,i want to buy chicken,ENGLISH,MALAY,Wrong
2025-06-18,18:03:45,Saya na Saya na chocolate,ENGLISH,ENGLISH,Correct
2025-06-18,18:04:12,Saya na Ayam,MALAY,ENGLISH,Wrong
